"(v, σ, Δx)",n_obs,P(fill≥1),P(fill≥2),P(fill≥3),P(fill≥5),P(fill≥8)
"(0,0,0)",14,0.7142857142857143,0.7142857142857142,0.7142857142857143,0.7142857142857143,0.7142857142857142
"(0,0,1)",23,0.5217391304347825,0.5217391304347825,0.5217391304347826,0.43478260869565216,0.43478260869565216
"(0,0,2)",14,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.6428571428571428,0.5714285714285714
"(0,1,0)",105,0.980952380952381,0.9714285714285714,0.9714285714285715,0.942857142857143,0.9238095238095239
"(0,1,1)",134,0.9776119402985073,0.962686567164179,0.9552238805970148,0.9253731343283581,0.8283582089552239
"(0,1,2)",145,0.9586206896551723,0.9517241379310345,0.9379310344827586,0.9172413793103448,0.8896551724137931
"(0,2,0)",66,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.9545454545454545,0.9242424242424242
"(0,2,1)",38,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9736842105263157
"(0,2,2)",59,0.9830508474576272,0.983050847457627,0.9661016949152542,0.9152542372881356,0.8983050847457626
"(1,0,0)",42,0.738095238095238,0.6904761904761905,0.6904761904761905,0.6428571428571428,0.5238095238095237
"(1,0,1)",87,0.689655172413793,0.689655172413793,0.6206896551724138,0.5747126436781609,0.45977011494252873
"(1,0,2)",45,0.7111111111111111,0.6444444444444444,0.6444444444444444,0.6,0.5777777777777777
"(1,1,0)",333,0.966966966966967,0.9399399399399399,0.924924924924925,0.9099099099099099,0.8708708708708708
"(1,1,1)",245,0.963265306122449,0.946938775510204,0.9387755102040816,0.9102040816326531,0.889795918367347
"(1,1,2)",412,0.9733009708737863,0.9563106796116504,0.9441747572815533,0.9271844660194174,0.8932038834951456
"(1,2,0)",292,0.9897260273972603,0.976027397260274,0.9726027397260274,0.958904109589041,0.9417808219178082
"(1,2,1)",109,0.9908256880733946,0.9816513761467891,0.9724770642201834,0.963302752293578,0.9174311926605505
"(1,2,2)",297,0.9865319865319864,0.9797979797979797,0.9797979797979798,0.9696969696969697,0.9427609427609427
"(2,0,0)",119,0.9159663865546218,0.8487394957983193,0.8151260504201681,0.773109243697479,0.6806722689075629
"(2,0,1)",218,0.889908256880734,0.8394495412844037,0.7522935779816515,0.6513761467889909,0.5137614678899083
"(2,0,2)",138,0.9057971014492754,0.8768115942028986,0.8115942028985507,0.7608695652173914,0.6811594202898551
"(2,1,0)",333,0.951951951951952,0.942942942942943,0.927927927927928,0.8798798798798799,0.8198198198198199
"(2,1,1)",267,0.9363295880149812,0.9063670411985019,0.8764044943820224,0.8164794007490636,0.7191011235955056
"(2,1,2)",371,0.9649595687331537,0.9326145552560648,0.9272237196765499,0.8894878706199462,0.8355795148247979
"(2,2,0)",710,0.9788732394366197,0.9661971830985915,0.9507042253521127,0.923943661971831,0.9056338028169014
"(2,2,1)",229,0.9563318777292575,0.9432314410480349,0.9301310043668123,0.890829694323144,0.8602620087336245
"(2,2,2)",703,0.972972972972973,0.9630156472261737,0.9516358463726885,0.9331436699857754,0.9132290184921765
naive (all),5548,0.9536770007209805,0.9352919971160778,0.9183489545782264,0.8869863013698629,0.8433669790915646
